Date Collected,Tweet_count,Username,Text,Created At,Retweets,Likes
2024-09-23,9,Kamala HQ,"Left: Trump in 2020 saying the stock market will collapse if President Biden wins

Right: The Dow and S&amp;P 500 hitting all-time record highs today https://t.co/UgcFRnCeRJ",Mon Jan 22 23:53:56 +0000 2024,3136,11708
2024-09-23,10,Amil Sharma ,"डर का माहौल है 💀

#NiftyMidcap #StockMarket #stocks #stockmarketsindia #smallcap https://t.co/1RRhOxFF98",Thu Sep 19 06:31:47 +0000 2024,0,7
2024-09-23,11,CA Afzal Lokhandwala,"During our live market session on 16th Sep with club members, we spotted #RPOWER as a setup. Watch the attached recording. Our members bought it and the stock is locked in second consecutive upper circuit (up by 11% in just 3 days).

As usual, after we buy, some news comes up and https://t.co/2hmyxKKpig",Thu Sep 19 05:46:49 +0000 2024,1,14
2024-09-23,12,Ed Krassenstein,"Why are Americans so misinformed about our economy? Are we stupid, are we being mislead, or what is the cause?

56% of Americans incorrectly think were are in a recession, according to a Harris Poll conducted for the @guardian.

49% incorrectly think the stock market is down this https://t.co/Nh2UbsNZ5O",Wed May 22 14:03:29 +0000 2024,820,2864
2024-09-23,13,Michael,This is happening more and more in your “stock market” America. Please tell me how these “glitches” aren’t anything again?!  $NVDA #glitch $GME $AMC https://t.co/opJGZ2HeEt,Fri Sep 20 21:32:12 +0000 2024,33,188
2024-09-23,14,Historic Vids,"Photos from ""Black Monday"", one of the worst stock market crashes in history (1987). Worldwide losses were estimated to be $1.71 trillion. https://t.co/qqd5EAKkAc",Wed Sep 11 17:42:00 +0000 2024,1373,13394
2024-09-23,15,Ian Carroll,"Who owns the entire stock market?
It’s not BlackRock  and it’s not Vanguard.   I like to call it “Megacorp”

And this is Megacorp. https://t.co/oBVlksTcOw",Mon Jan 15 22:31:21 +0000 2024,7865,20818
2024-09-23,16,Chetna Parmar,"एक ही माँ के 3 जुड़वाँ बच्चे 😂

NIFTY BANK / NIFTY / SENSEX 

#JUDWA3 #stockmarketindia #indianstockmarket #stockmarket  #nifty50 #nifty #sensex #stockmarketnews #axisdirect #ireda #inoxwind #nmdc #angelone #indigo #tata #ratantata #stockmarketinvesting #stockmarketindiatips https://t.co/xyZlNP5Lw5",Fri Sep 20 09:21:36 +0000 2024,2,15
2024-09-23,17,Adlytick Stock Market Research & Analytics,#VodafoneIdea BUYER CIRCUIT https://t.co/oQlahL6vXI,Mon Sep 23 04:09:40 +0000 2024,0,8
2024-09-23,18,Kamala HQ,"Four years ago today, Trump claimed the stock market would “crash” if Joe Biden was elected 

(The stock market has reached the highest levels ever recorded in history under President Biden) https://t.co/4ZXsmtgh7z",Fri May 24 13:08:12 +0000 2024,3689,8662
2024-09-23,1,SULLY,"The stock market is crashing. #KamalaCrash 

Meanwhile, this is the person in charge. 
https://t.co/3TOU956LpK",Mon Aug 05 15:50:55 +0000 2024,2973,8062
2024-09-23,2,Collin Rugg,"NEW: GameStop stock explodes as 'Roaring Kitty' returns to X in his first post since June 18, 2021.

Short sellers have suffered a mark-to-market loss of ~$1 billion as GME is up over 70% today. (CNBC)

'Roaring Kitty' went viral in 2021 for kickstarting the ""meme stock frenzy"" https://t.co/MKhk1O8iCy",Mon May 13 16:19:48 +0000 2024,1457,13212
2024-09-23,3,Russian Market,"New batches of electronic devices: iPhones, Notebooks — are exploding right in the stores. Footage shows terrified employees of one such shop, who miraculously managed to run outside just in time.

Apple stock so far untouched $aapl #Lebanon https://t.co/1q5DEluVIy",Wed Sep 18 15:24:17 +0000 2024,285,628
2024-09-23,4,Kamala HQ,"Four years ago today, the stock market logged its worst week since the Great Recession

Today, the Dow, S&amp;P 500, and Nasdaq hit the highest level they’ve ever been in history https://t.co/qF3sVJ26Rt",Thu Mar 21 00:41:54 +0000 2024,1966,5346
2024-09-23,5,Quiver Quantitative,"Nancy Pelosi has made $3,090,000 in the stock market so far today.

That is 17x her annual salary, in unrealized gains.

The market has only been open for 3 hours. https://t.co/xhmQPI536F",Thu Sep 19 16:39:34 +0000 2024,680,1637
2024-09-23,6,Stock Market News,"Skanska selected for reservoir construction project in Yonkers, NY, USA, for USD 630M, about SEK 6.6 billion: STOCKHOLM, Sept. 23, 2024 /PRNewswire/ -- Skanska has, in a joint venture with ECCO III Enterprises, Inc., signed a contract with the New York… https://t.co/ZscrMrpF6t",Mon Sep 23 05:41:08 +0000 2024,0,0
2024-09-23,7,Kamala HQ,"Left: Trump saying in 2020 that “the stock market will crash” if Biden is elected

Right: The Dow hitting 40,000 for the first time ever in history today https://t.co/9QHUZzL0xj",Thu May 16 21:16:30 +0000 2024,1742,8555
2024-09-23,8,Amil Sharma ,"डर का माहौल है 💀

#NiftyMidcap #StockMarket #stocks #stockmarketsindia #smallcap https://t.co/1RRhOxFF98",Thu Sep 19 06:31:47 +0000 2024,0,7
2024-09-23,9,Kamala HQ,"Left: Trump in 2020 saying the stock market will collapse if President Biden wins

Right: The Dow and S&amp;P 500 hitting all-time record highs today https://t.co/UgcFRnCeRJ",Mon Jan 22 23:53:56 +0000 2024,3136,11708
2024-09-23,10,Historic Vids,"Photos from ""Black Monday"", one of the worst stock market crashes in history (1987). Worldwide losses were estimated to be $1.71 trillion. https://t.co/qqd5EAKkAc",Wed Sep 11 17:42:00 +0000 2024,1373,13394
2024-09-23,11,CA Afzal Lokhandwala,"During our live market session on 16th Sep with club members, we spotted #RPOWER as a setup. Watch the attached recording. Our members bought it and the stock is locked in second consecutive upper circuit (up by 11% in just 3 days).

As usual, after we buy, some news comes up and https://t.co/2hmyxKKpig",Thu Sep 19 05:46:49 +0000 2024,1,14
2024-09-23,12,Michael,This is happening more and more in your “stock market” America. Please tell me how these “glitches” aren’t anything again?!  $NVDA #glitch $GME $AMC https://t.co/opJGZ2HeEt,Fri Sep 20 21:32:12 +0000 2024,33,188
2024-09-23,13,Ed Krassenstein,"Why are Americans so misinformed about our economy? Are we stupid, are we being mislead, or what is the cause?

56% of Americans incorrectly think were are in a recession, according to a Harris Poll conducted for the @guardian.

49% incorrectly think the stock market is down this https://t.co/Nh2UbsNZ5O",Wed May 22 14:03:29 +0000 2024,820,2864
2024-09-23,14,Chetna Parmar,"एक ही माँ के 3 जुड़वाँ बच्चे 😂

NIFTY BANK / NIFTY / SENSEX 

#JUDWA3 #stockmarketindia #indianstockmarket #stockmarket  #nifty50 #nifty #sensex #stockmarketnews #axisdirect #ireda #inoxwind #nmdc #angelone #indigo #tata #ratantata #stockmarketinvesting #stockmarketindiatips https://t.co/xyZlNP5Lw5",Fri Sep 20 09:21:36 +0000 2024,2,15
2024-09-23,15,Ian Carroll,"Who owns the entire stock market?
It’s not BlackRock  and it’s not Vanguard.   I like to call it “Megacorp”

And this is Megacorp. https://t.co/oBVlksTcOw",Mon Jan 15 22:31:21 +0000 2024,7865,20818
